Date,INTC,SMTC,AWSL,MU,AMAT,ASML,NVDA,TXN,QCOM,AMD
08-05-2000,0.420387377,0.062053583,0.787019469,1.219507036,-0.051641708,-0.518472158,-0.47785078,-0.196995982,-0.551070958,0.394381746
09-05-2000,0.416613242,0.062824846,0.773952458,1.229976177,-0.055395456,-0.518524028,-0.477657558,-0.196892364,-0.56037987,0.399665162
10-05-2000,0.413522667,0.064016083,0.760672383,1.242410051,-0.059116036,-0.518550123,-0.477440494,-0.196755307,-0.569656033,0.404708179
11-05-2000,0.411195417,0.065621111,0.747152761,1.256819911,-0.062743035,-0.518548381,-0.477199456,-0.196582474,-0.578860955,0.409514011
12-05-2000,0.409603494,0.067590274,0.733367326,1.273095483,-0.066237826,-0.518518661,-0.476936126,-0.196403352,-0.587979547,0.414043904
15-05-2000,0.408792171,0.069961408,0.719289513,1.291193952,-0.069546807,-0.518461815,-0.476650694,-0.196212521,-0.59697419,0.418332799
16-05-2000,0.408791006,0.072802992,0.704894613,1.31106773,-0.072639065,-0.518378458,-0.476344599,-0.195992253,-0.605842211,0.422408401
17-05-2000,0.409594503,0.076100331,0.690159359,1.332679456,-0.075483931,-0.518268787,-0.476020061,-0.19575187,-0.614575446,0.426272598
18-05-2000,0.411176399,0.079817963,0.675062413,1.355891986,-0.07804318,-0.518132245,-0.475680477,-0.195499086,-0.623154527,0.429940714
19-05-2000,0.413523144,0.083929405,0.659584351,1.380577028,-0.080276936,-0.517969783,-0.475326244,-0.195231595,-0.631533545,0.433407189
22-05-2000,0.416709528,0.088559846,0.644217784,1.406709816,-0.082137029,-0.517776064,-0.474958366,-0.194926177,-0.639644224,0.43673047
23-05-2000,0.420723607,0.093752543,0.628422101,1.434145696,-0.083592567,-0.517547552,-0.474578548,-0.194556734,-0.647448835,0.439939989
24-05-2000,0.425579491,0.099496351,0.612180704,1.462729255,-0.084616303,-0.517284167,-0.474188085,-0.194120043,-0.654919228,0.44306274
25-05-2000,0.431178545,0.105696903,0.595480968,1.492218374,-0.085233283,-0.516988661,-0.47378902,-0.193654899,-0.662063167,0.446101878
26-05-2000,0.437476693,0.112328701,0.578313969,1.522332385,-0.085442555,-0.516661993,-0.473383448,-0.193181906,-0.668848777,0.449064511
30-05-2000,0.444411968,0.119361802,0.56067371,1.552913269,-0.085242064,-0.516307702,-0.472972709,-0.192688655,-0.675256654,0.451927447
31-05-2000,0.451886352,0.1267404,0.542555767,1.583713777,-0.08468331,-0.515928434,-0.472559483,-0.192211466,-0.681342603,0.454632244
01-06-2000,0.459865003,0.134428967,0.523958744,1.614543543,-0.083774427,-0.515525059,-0.472145233,-0.191743913,-0.68708414,0.457216419
